egg ID	species	pigment
12	arctic tern	45.029
21	arctic tern	24.147
22a	arctic tern	23.894
22b	arctic tern	25.784
38	arctic tern	28.446
39	arctic tern	27.46
45	arctic tern	32.317
1399	arctic tern	23.970
1400	arctic tern	29.411
1402	arctic tern	37.831
1405	arctic tern	36.893
1410	arctic tern	41.976
1415	arctic tern	33.057
1418	arctic tern	36.451
1421	arctic tern	46.296
1425	arctic tern	34.415
1522	arctic tern	42.757
1526	arctic tern	34.436
1606	arctic tern	49.618
1609	arctic tern	42.396
1612	arctic tern	27.327
1412	arctic tern	34.635
4a	common gull	9.055
4b	common gull	20.496
5b	common gull	12.489
6	common gull	22.692
7a	common gull	8.447
7b	common gull	39.141
7c	common gull	20.264
8	common gull	9.668
10	common gull	24.844
14b	common gull	20.261
14c	common gull	14.589
16	common gull	4.615
24a	common gull	13.117
24b	common gull	12.881
24c	common gull	13.559
25	common gull	24.123
26a	common gull	19.937
26b	common gull	30.348
26c	common gull	11.2
26d	common gull	16.537
30	common gull	16.017
34	common gull	23.857
40	common gull	22.802
41	common gull	12.561
42	common gull	24.698
43	common gull	36.364
44	common gull	10.953
1162	lapwing	47.151
1172	lapwing	43.260
1176	lapwing	55.315
1216	lapwing	58.625
1	lapwing	23.86
3	lapwing	40.752
1130	oystercatcher	23.458
1179	oystercatcher	22.039
1209	oystercatcher	27.248
1215	oystercatcher	25.910
1280	oystercatcher	23.144
1290	oystercatcher	22.965
1342	oystercatcher	21.181
1347	oystercatcher	26.325
1360	oystercatcher	34.426
fb1	oystercatcher	26.890
5a	oystercatcher	14.451
7d 	oystercatcher	17.121
7f	oystercatcher	24.495
11	oystercatcher	24.007
13	oystercatcher	17.033
14a	oystercatcher	15.418
15	oystercatcher	14.307
18	oystercatcher	25.536
28	oystercatcher	12.323
31	oystercatcher	25.352
32	oystercatcher	23.663
35	oystercatcher	24.588
36	oystercatcher	18.362
37	oystercatcher	15.584
1297	ringed plover	15.958
1310	ringed plover	13.919
1333	ringed plover	21.429
1520	ringed plover	14.892
17	ringed plover	9.993
